comparison,age,ratio,prop_time_larger,n1,n2,N
Large,Adult,0.25,0.721558559,6,24,70
Large,Adult,0.33,0.626591958,6,18,70
Large,Adult,0.5,0.630253558,6,12,70
Large,Adult,0.67,0.55676924,6,9,102
Large,Adult,0.75,0.537972002,6,8,70
Large,Young,0.25,0.699097794,6,24,100
Large,Young,0.33,0.70862065,6,18,100
Large,Young,0.5,0.630255484,6,12,100
Large,Young,0.67,0.575321859,6,9,100
Large,Young,0.75,0.556526546,6,8,100
Small,Adult,0.25,0.675490196,1,4,70
Small,Adult,0.33,0.628431373,1,3,70
Small,Adult,0.5,0.655882353,1,2,70
Small,Adult,0.67,0.644117647,2,3,102
Small,Adult,0.75,0.632352941,3,4,70
Small,Young,0.25,0.621568627,1,4,100
Small,Young,0.33,0.643137255,1,3,100
Small,Young,0.5,0.626470588,1,2,100
Small,Young,0.67,0.654901961,2,3,100
Small,Young,0.75,0.632352941,3,4,100
