ref_time,test_time,prop_long_responses
1,0.457679904,0.00210099
1,0.54788682,0.022458727
1,0.744541534,0.016791913
1,0.859229888,0.063145127
1,0.906450016,0.090967522
1,1.009264114,0.12619643
1,0.954920993,0.183749538
1,1.082624789,0.217116643
1,1.101484609,0.252374623
1,1.160338117,0.347012629
1,1.290652028,0.428641267
1,1.244679952,0.437932842
1,1.336064902,0.497301238
1,1.458849902,0.601207561
1,1.356992604,0.612366754
1,1.431567949,0.640189149
1,1.481879531,0.71070511
1,1.651089422,0.714382201
1,1.563506706,0.732959537
1,1.869788121,0.799717003
1,1.707879981,0.818305967
1,1.868060529,0.842404755
1,1.705068046,0.894401525
1,2.005294947,0.899917162
1,1.970088765,0.885075063
2,1.011619493,0.018549056
2,1.231903947,0.08158873
2,1.44864185,0.092672334
2,1.299918304,0.098275189
2,1.643296443,0.10005559
2,1.556502401,0.10749699
2,1.702348539,0.135307756
2,1.860888114,0.187246381
2,1.962288004,0.235484657
2,2.029129973,0.354256337
2,2.135316108,0.497150062
2,2.210538167,0.563954044
2,2.371120902,0.656730246
2,2.412523874,0.690132238
2,2.497511297,0.75693622
2,2.584349846,0.844156083
4,2.236812723,0.018293219
4,2.877049945,0.053475611
4,3.091264517,0.068300267
4,3.200805486,0.125824303
4,3.435119672,0.194472646
4,3.683328578,0.303952751
4,3.808182579,0.430148387
4,4.014883766,0.487666609
4,4.227703855,0.600864507
4,4.541752959,0.62311312
4,4.792313998,0.641655568
4,4.457892489,0.650958772
8,5.220396061,0.021731917
8,4.859030158,0.003195283
8,3.576052457,0.003294129
8,5.607960535,0.045836519
8,6.01921562,0.108916894
8,6.459850833,0.177565236
8,6.92856446,0.274053417
8,7.303753595,0.337139606
8,7.554972117,0.441063372
8,9.031677549,0.524524742
8,9.360369438,0.539361026
8,8.101517338,0.546831499
8,8.538507119,0.619197634
16,1.616003722,0.04066975
16,2.445225175,0.068375855
16,11.5299431,0.073443778
16,12.38244702,0.110540304
16,13.05139598,0.179194461
16,13.7697597,0.203304877
16,14.7765838,0.275665198
16,15.5686152,0.362879247
16,17.9602898,0.425936364
16,18.60195695,0.470468476
16,16.99732883,0.472353537
16,19.58328253,0.594802309
32,14.59261751,0.021400492
32,16.25496985,0.036213518
32,17.78451171,0.047320381
32,20.16692781,0.07140754
32,21.27437327,0.101085923
32,22.84369071,0.145606406
32,24.0884446,0.193844682
32,26.32650851,0.255063253
32,27.2287469,0.364554987
32,29.19267436,0.47960306
32,36.24737383,0.477677297
32,36.85215026,0.546343083
32,34.25846396,0.585342114
32,30.73023126,0.607648871
32,38.8321235,0.627989164
32,32.36827767,0.707854845
64,9.808837236,0.043800281
64,22.48687335,0.039820836
64,26.92976897,0.041618681
64,29.97825336,0.086127535
64,32.18444352,0.138071974
64,35.81768573,0.195572753
64,38.44743599,0.254941149
64,42.0128431,0.323583677
64,45.0956321,0.384808063
64,47.50514024,0.479446069
64,68.04389559,0.542433412
64,50.96020829,0.568510293
64,53.72407598,0.627884504
64,57.69170313,0.668693008
64,61.93243135,0.724349426
64,64.17603452,0.746609668
