f1,f2,discrimination_percent,n_trials
3.961403777,15.96833773,80,10
9.845072089,18.05804749,80,10
13.72900495,22.0474934,76,10
17.70792462,26.03693931,86,10
15.80267472,28.12664908,86,10
21.97180471,30.02638522,90,10
26.04596181,33.92084433,97,10
27.83492178,39.90501319,92,10
15.96132024,4,96,10
17.74977896,10.17414248,90,10
21.91892287,14.06860158,89,10
27.89807924,15.96833773,86,10
25.99307997,17.96306069,77,10
29.87676221,22.0474934,79,10
33.76094569,25.94195251,78,10
39.54987782,27.93667546,79,10
