contrast,fraction_correct,individual
0.020191501,0.674883721,circle
0.040495138,0.574418605,circle
0.060738167,0.701395349,circle
0.130622262,0.676271548,circle
0.170770023,0.799069767,circle
0.210559748,0.924651163,circle
0.272194448,0.974883721,circle
0.342488441,0.974883721,circle
0.020055536,0.575813953,plus
0.040495137,0.700424998,plus
0.060465197,0.801683696,plus
0.131211956,0.675342569,plus
0.170385851,0.900155457,plus
0.210559746,0.876002006,plus
0.273423265,0.975402746,plus
0.340949222,0.926166865,plus
0.020146077,0.50069454,square
0.040313144,0.62517771,square
0.060738167,0.775672287,square
0.130622262,0.774743308,square
0.170385851,0.951249295,square
0.211510317,0.925237886,square
0.270971146,0.999556196,square
0.342488436,0.949391337,square
