animal,freq_difference,percent_correct
r1,10,54.22037422
r1,20,49.35550936
r1,30,54.59459459
r1,40,58.96049896
r1,50,67.31808732
r1,60,74.05405405
r1,70,83.78378378
r1,80,88.64864865
r3,10,57.21413721
r3,20,62.7027027
r3,30,61.95426195
r3,40,73.05613306
r3,50,74.55301455
r3,60,79.91683992
r3,70,89.27234927
r3,80,92.88981289
m1,10,51.97505198
m1,20,58.96049896
m1,30,62.95218295
m1,40,68.56548857
m1,50,76.04989605
m1,60,79.41787942
m1,70,90.64449064
m1,80,92.88981289
m2,10,53
m2,20,56.5
m2,30,60.625
m2,40,68.125
m2,50,68.625
m2,60,77.25
m2,70,82
m2,80,85.125
