Animal,Difference,Standard,Referent,nmrIntensity,rIntensity,Response,N
Bat1,12,20,8,0.612244898,0.857142857,0.985,200
Bat1,7.5,20,12.5,0.284023669,0.461538462,0.965,200
Bat1,6.7,20,13.3,0.241683125,0.402402402,0.98,200
Bat1,6.2,20,13.8,0.217079234,0.366863905,0.86,200
Bat1,4,20,16,0.12345679,0.222222222,0.885,200
Bat1,3,20,17,0.087655223,0.162162162,0.52,200
Bat1,1.4,20,18.6,0.037584902,0.07253886,0.58,200
Bat1,0,20,20,0,0,0.555,200
Bat1,-1.5,20,21.5,0.034838148,0.072289157,0.59,200
Bat1,-3.5,20,23.5,0.073985996,0.16091954,0.775,200
Bat1,-5,20,25,0.098765432,0.222222222,0.775,200
Bat1,-9,20,29,0.149937526,0.367346939,0.925,200
Bat1,-10,20,30,0.16,0.4,0.865,200
Bat1,-12,20,32,0.177514793,0.461538462,0.935,200
Bat1,-30,20,50,0.244897959,0.857142857,0.975,200
Bat2,12,20,8,0.612244898,0.857142857,0.93,200
Bat2,7.5,20,12.5,0.284023669,0.461538462,0.9,200
Bat2,6.7,20,13.3,0.241683125,0.402402402,0.9,200
Bat2,6.2,20,13.8,0.217079234,0.366863905,0.895,200
Bat2,4,20,16,0.12345679,0.222222222,0.55,200
Bat2,3,20,17,0.087655223,0.162162162,0.55,200
Bat2,1.4,20,18.6,0.037584902,0.07253886,0.495,200
Bat2,0,20,20,0,0,0.53,200
Bat2,-1.5,20,21.5,0.034838148,0.072289157,0.535,200
Bat2,-3.5,20,23.5,0.073985996,0.16091954,0.485,200
Bat2,-5,20,25,0.098765432,0.222222222,0.605,200
Bat2,-9,20,29,0.149937526,0.367346939,0.66,200
Bat2,-10,20,30,0.16,0.4,0.765,200
Bat2,-12,20,32,0.177514793,0.461538462,0.875,200
Bat2,-30,20,50,0.244897959,0.857142857,0.76,200
Bat3,12,20,8,0.612244898,0.857142857,0.94,200
Bat3,7.5,20,12.5,0.284023669,0.461538462,0.925,200
Bat3,6.7,20,13.3,0.241683125,0.402402402,0.885,200
Bat3,6.2,20,13.8,0.217079234,0.366863905,0.9,200
Bat3,4,20,16,0.12345679,0.222222222,0.635,200
Bat3,3,20,17,0.087655223,0.162162162,0.555,200
Bat3,1.4,20,18.6,0.037584902,0.07253886,0.55,200
Bat3,0,20,20,0,0,0.485,200
Bat3,-1.5,20,21.5,0.034838148,0.072289157,0.495,200
Bat3,-3.5,20,23.5,0.073985996,0.16091954,0.73,200
Bat3,-5,20,25,0.098765432,0.222222222,0.685,200
Bat3,-9,20,29,0.149937526,0.367346939,0.85,200
Bat3,-10,20,30,0.16,0.4,0.725,200
Bat3,-12,20,32,0.177514793,0.461538462,0.66,200
Bat3,-30,20,50,0.244897959,0.857142857,0.815,200
Bat4,12,20,8,0.612244898,0.857142857,0.915,200
Bat4,7.5,20,12.5,0.284023669,0.461538462,0.865,200
Bat4,6.7,20,13.3,0.241683125,0.402402402,0.765,200
Bat4,6.2,20,13.8,0.217079234,0.366863905,0.86,200
Bat4,4,20,16,0.12345679,0.222222222,0.715,200
Bat4,3,20,17,0.087655223,0.162162162,0.645,200
Bat4,1.4,20,18.6,0.037584902,0.07253886,0.57,200
Bat4,0,20,20,0,0,0.635,200
Bat4,-1.5,20,21.5,0.034838148,0.072289157,0.49,200
Bat4,-3.5,20,23.5,0.073985996,0.16091954,0.515,200
Bat4,-5,20,25,0.098765432,0.222222222,0.645,200
Bat4,-9,20,29,0.149937526,0.367346939,0.71,200
Bat4,-10,20,30,0.16,0.4,0.69,200
Bat4,-12,20,32,0.177514793,0.461538462,0.67,200
Bat5,12,20,8,0.612244898,0.857142857,0.915,200
Bat5,7.5,20,12.5,0.284023669,0.461538462,0.96,200
Bat5,6.7,20,13.3,0.241683125,0.402402402,0.94,200
Bat5,6.2,20,13.8,0.217079234,0.366863905,0.945,200
Bat5,4,20,16,0.12345679,0.222222222,0.63,200
Bat5,3,20,17,0.087655223,0.162162162,0.825,200
Bat5,1.4,20,18.6,0.037584902,0.07253886,0.48,200
Bat5,0,20,20,0,0,0.47,200
Bat5,-1.5,20,21.5,0.034838148,0.072289157,0.425,200
Bat5,-3.5,20,23.5,0.073985996,0.16091954,0.585,200
Bat5,-5,20,25,0.098765432,0.222222222,0.635,200
Bat5,-9,20,29,0.149937526,0.367346939,0.695,200
Bat5,-10,20,30,0.16,0.4,0.635,200
Bat5,-12,20,32,0.177514793,0.461538462,0.565,200
Bat5,-30,20,50,0.244897959,0.857142857,0.89,200
Bat6,12,20,8,0.612244898,0.857142857,0.96,200
Bat6,7.5,20,12.5,0.284023669,0.461538462,0.965,200
Bat6,6.7,20,13.3,0.241683125,0.402402402,0.95,200
Bat6,6.2,20,13.8,0.217079234,0.366863905,0.975,200
Bat6,4,20,16,0.12345679,0.222222222,0.9,200
Bat6,3,20,17,0.087655223,0.162162162,0.91,200
Bat6,1.4,20,18.6,0.037584902,0.07253886,0.79,200
Bat6,0,20,20,0,0,0.495,200
Bat6,-1.5,20,21.5,0.034838148,0.072289157,0.825,200
Bat6,-3.5,20,23.5,0.073985996,0.16091954,0.51,200
Bat6,-5,20,25,0.098765432,0.222222222,0.97,200
Bat6,-9,20,29,0.149937526,0.367346939,0.95,200
Bat6,-10,20,30,0.16,0.4,0.73,200
Bat6,-12,20,32,0.177514793,0.461538462,0.985,200
Bat6,-30,20,50,0.244897959,0.857142857,0.87,200
Average,12,20,8,0.612244898,0.857142857,0.94,200
Average,7.5,20,12.5,0.284023669,0.461538462,0.93,200
Average,6.7,20,13.3,0.241683125,0.402402402,0.9,200
Average,6.2,20,13.8,0.217079234,0.366863905,0.91,200
Average,4,20,16,0.12345679,0.222222222,0.72,200
Average,3,20,17,0.087655223,0.162162162,0.67,200
Average,1.4,20,18.6,0.037584902,0.07253886,0.58,200
Average,0,20,20,0,0,0.53,200
Average,-1.5,20,21.5,0.034838148,0.072289157,0.56,200
Average,-3.5,20,23.5,0.073985996,0.16091954,0.6,200
Average,-5,20,25,0.098765432,0.222222222,0.72,200
Average,-9,20,29,0.149937526,0.367346939,0.8,200
Average,-10,20,30,0.16,0.4,0.74,200
Average,-12,20,32,0.177514793,0.461538462,0.78,200
Average,-30,20,50,0.244897959,0.857142857,0.86,200
