High (M),D (M),High (g/100ml),D (g/100ml),Lowconc,D (% w/w),Highconc,nmrIntensity,rIntensity,Response,Responses (captured with EasyNData from Hainsworth & Wolf 1976),,,,,N (assumed value)
0.2,0.05,6.8468,1.7117,4.92,1.74,6.66,0.519029594,0.300518135,0.87,0.87,,,,,100
0.25,0.05,8.5585,1.7117,6.52,1.74,8.26,0.318610711,0.235453315,0.8,0.86,0.74,,,,100
0.3,0.05,10.2702,1.7117,8.11,1.74,9.85,0.215772739,0.19376392,0.89,0.91,0.87,,,,100
0.35,0.05,11.9819,1.7117,9.69,1.74,11.43,0.15603478,0.164772727,0.793,0.7,0.74,0.76,0.97,,100
0.4,0.05,13.6936,1.7117,11.24,1.74,12.98,0.118648148,0.143682907,0.677,0.51,0.69,0.83,,,100
0.45,0.05,15.4053,1.7117,12.79,1.74,14.53,0.093249787,0.127379209,0.68,0.88,0.48,,,,100
0.5,0.05,17.117,1.7117,14.31,1.74,16.05,0.075510215,0.114624506,0.588,0.45,0.62,0.63,0.65,,100
0.55,0.05,18.8287,1.7117,15.82,1.74,17.56,0.062464976,0.104254044,0.43,0.43,,,,,100
0.3,0.1,10.2702,3.4234,6.45,3.4,9.85,0.511874741,0.417177914,0.97,0.97,,,,,100
0.4,0.1,13.6936,3.4234,9.58,3.4,12.98,0.267214929,0.30141844,0.84,0.63,0.87,0.88,0.89,0.93,100
0.5,0.1,17.117,3.4234,12.65,3.4,16.05,0.165110661,0.236933798,0.755,0.5,0.81,0.84,0.87,,100
0.6,0.1,20.5404,3.4234,15.66,3.4,19.06,0.11281828,0.195852535,0.68,0.54,0.59,0.71,0.75,0.81,100
0.7,0.1,23.9638,3.4234,18.6,3.4,22,0.082506249,0.167487685,0.57,0.5,0.59,0.62,,,100
0.8,0.1,27.3872,3.4234,21.48,3.4,24.88,0.063277899,0.146678171,0.56,0.47,0.51,0.59,0.67,,100
0.9,0.1,30.8106,3.4234,24.3,3.4,27.7,0.050295858,0.130769231,0.58,0.58,,,,,100
0.5,0.2,17.117,6.8468,9.39,6.66,16.05,0.411623354,0.523584906,0.93,0.93,,,,,100
0.6,0.2,20.5404,6.8468,12.4,6.66,19.06,0.269163882,0.423394787,0.78,0.78,,,,,100
0.7,0.2,23.9638,6.8468,15.34,6.66,22,0.19106696,0.356722014,0.78,0.69,0.79,0.86,,,100
0.8,0.2,27.3872,6.8468,18.22,6.66,24.88,0.143410081,0.309048724,0.78,0.75,0.77,0.82,,,100
0.9,0.2,30.8106,6.8468,21.04,6.66,27.7,0.112140676,0.273286828,0.623,0.46,0.62,0.69,0.72,,100
1,0.2,34.234,6.8468,23.79,6.66,30.45,0.090551335,0.245575221,0.665,0.52,0.64,0.73,0.77,,100
1.1,0.2,37.6574,6.8468,26.48,6.66,33.14,0.074946314,0.223414961,0.593,0.54,0.61,0.63,,,100
