bat,ft_minus_fr,ft_higher,fr
1,-1.323129252,5.650669884,25
1,-1.146258503,0.623546988,25
1,-1.023809524,6.991235989,25
1,-0.951247166,12.01835889,25
1,-0.896825397,6.320952936,25
1,-0.76984127,15.03463262,25
1,-0.651927438,19.39147247,25
1,-0.574829932,7.661519042,25
1,-0.520408163,13.02378346,25
1,-0.388888889,19.39147247,25
1,-0.384353741,27.09972757,25
1,-0.257369615,32.46199199,25
1,-0.193877551,18.38604789,25
1,-0.130385488,34.80798268,25
1,-0.003401361,50.55963442,25
1,0.001133787,51.90020053,25
1,0.132653061,59.60845563,25
1,0.191609977,70.33298448,25
1,0.268707483,68.99241837,25
1,0.400226757,70.33298448,25
1,0.39569161,73.01411669,25
1,0.536281179,72.67897516,25
1,0.590702948,74.35468279,25
1,0.658730159,74.01954127,25
1,0.790249433,70.33298448,25
1,0.803854875,79.71694722,25
1,0.930839002,87.0900608,25
1,0.994331066,60.27873869,25
1,1.066893424,93.12260827,25
1,1.198412698,72.00869211,25
1,1.397959184,86.75491927,25
2,-1.327272926,11.11111111,25
2,-1.140909503,29.29292929,25
2,-1.031818719,14.81481481,25
2,-0.954546081,14.81481481,25
2,-0.900000689,8.417508418,25
2,-0.772728108,16.16161616,25
2,-0.768182658,12.12121212,25
2,-0.654546425,13.46801347,25
2,-0.581819236,35.01683502,25
2,-0.522728394,13.8047138,25
2,-0.395455813,27.94612795,25
2,-0.386364915,30.63973064,25
2,-0.254546884,38.04713805,25
2,-0.195456043,42.42424242,25
2,-0.131819752,49.83164983,25
2,-1.72E-06,35.69023569,25
2,-0.004547171,50.16835017,25
2,0.131816309,55.21885522,25
2,0.19090715,92.25589226,25
2,0.268179789,100,25
2,0.39545237,89.22558923,25
2,0.53181585,87.20538721,25
2,0.590906691,97.30639731,25
2,0.668179329,95.62289562,25
2,0.790906461,90.57239057,25
2,0.804542809,95.28619529,25
2,0.93181539,95.62289562,25
2,0.995451681,100,25
2,1.07272432,100,25
2,1.199996901,100,25
2,1.399996671,93.93939394,25
3,-1.025154663,15.05016722,25
3,-0.898297816,8.361204013,25
3,-0.76588375,12.7090301,25
3,-0.651679092,17.05685619,25
3,-0.524395938,15.05016722,25
3,-0.397021432,14.04682274,25
3,-0.253706081,38.1270903,25
3,-0.125204907,49.49832776,25
3,0.007787719,60.2006689,25
3,0.007087357,52.5083612,25
3,0.133456996,40.46822742,25
3,0.273407565,77.59197324,25
3,0.409734522,74.91638796,25
3,0.542300841,80.93645485,25
3,0.674714907,85.28428094,25
3,0.811255018,84.94983278,25
3,0.943729985,89.96655518,25
3,1.08494425,90.96989967,25
